Dates,Prices,Date_Ordinal
2020-10-31,10.1,737729
2020-11-30,10.3,737759
2020-12-31,11.0,737790
2021-01-31,10.9,737821
2021-02-28,10.9,737849
2021-03-31,10.9,737880
2021-04-30,10.4,737910
2021-05-31,9.84,737941
2021-06-30,10.0,737971
2021-07-31,10.1,738002
2021-08-31,10.3,738033
2021-09-30,10.2,738063
2021-10-31,10.1,738094
2021-11-30,11.2,738124
2021-12-31,11.4,738155
2022-01-31,11.5,738186
2022-02-28,11.8,738214
2022-03-31,11.5,738245
2022-04-30,10.7,738275
2022-05-31,10.7,738306
2022-06-30,10.4,738336
2022-07-31,10.5,738367
2022-08-31,10.4,738398
2022-09-30,10.8,738428
2022-10-31,11.0,738459
2022-11-30,11.6,738489
2022-12-31,11.6,738520
2023-01-31,12.1,738551
2023-02-28,11.7,738579
2023-03-31,12.0,738610
2023-04-30,11.5,738640
2023-05-31,11.2,738671
2023-06-30,10.9,738701
2023-07-31,11.4,738732
2023-08-31,11.1,738763
2023-09-30,11.5,738793
2023-10-31,11.8,738824
2023-11-30,12.2,738854
2023-12-31,12.8,738885
2024-01-31,12.6,738916
2024-02-29,12.4,738945
2024-03-31,12.7,738976
2024-04-30,12.1,739006
2024-05-31,11.4,739037
2024-06-30,11.5,739067
2024-07-31,11.6,739098
2024-08-31,11.5,739129
2024-09-30,11.8,739159
